WTI,USAtoGBP,USAtoEUR,USAtoCHF
61.18,0.7607,0.8949,0.9714
63.05,0.7641,0.8958,0.9727
63.27,0.7594,0.8929,0.9682
62.7,0.7619,0.8964,0.9703
59.61,0.7633,0.9003,0.9739
59.56,0.7653,0.9003,0.9733
59.04,0.7657,0.899,0.9725
58.08,0.77,0.8979,0.9709
58.23,0.7681,0.8984,0.9674
57.81,0.767,0.8966,0.9641
58.52,0.7646,0.8977,0.9646
58.54,0.7687,0.9016,0.9682
58.73,0.7686,0.9012,0.9681
58.34,0.7662,0.902,0.9686
56.74,0.7609,0.9013,0.9679
55.59,0.762,0.9045,0.9689
54.19,0.7647,0.9069,0.9712
53.14,0.766,0.9074,0.9696
53.48,0.7675,0.9071,0.973
53.33,0.768,0.908,0.9732
52.14,0.7636,0.9063,0.9695
51.56,0.7575,0.9013,0.9632
50.11,0.7695,0.904,0.9659
49.61,0.7674,0.9054,0.9692
50.75,0.7691,0.909,0.9734
50.95,0.7734,0.9107,0.9746
50.32,0.7756,0.9135,0.9778
49.57,0.7743,0.9164,0.9772
49.94,0.772,0.9159,0.9759
51.17,0.7715,0.9195,0.9783
51.42,0.7665,0.9223,0.9795
52.05,0.7664,0.923,0.9822
52.2,0.7688,0.9228,0.9808
52.05,0.7692,0.9265,0.9833
53.29,0.774,0.9252,0.9839
53.78,0.7763,0.9271,0.9841
53.38,0.771,0.9219,0.9782
51.43,0.7733,0.9211,0.9789
49.9,0.7689,0.9189,0.9762
48.73,0.7749,0.9189,0.9769
47.09,0.7761,0.9089,0.9677
44.76,0.78,0.9068,0.9655
46.75,0.7842,0.898,0.9593
47.18,0.7805,0.8949,0.9562
46.78,0.7769,0.8978,0.9569
45.9,0.7712,0.8895,0.9456
41.28,0.7663,0.886,0.9374
31.13,0.7614,0.8733,0.9252
34.36,0.7747,0.8864,0.9399
32.98,0.7799,0.8872,0.9389
31.5,0.7954,0.8939,0.9441
31.73,0.8144,0.9003,0.9498
28.7,0.8152,0.8941,0.9471
26.95,0.8297,0.9093,0.9611
20.37,0.8615,0.916,0.9682
25.22,0.8705,0.9351,0.9861
22.43,0.8589,0.9349,0.9866
23.36,0.8658,0.9324,0.9847
24.01,0.8504,0.9267,0.9817
24.49,0.8417,0.9188,0.977
22.6,0.8194,0.9065,0.9632
21.51,0.8027,0.8973,0.9513
20.09,0.8053,0.905,0.9585
20.48,0.8052,0.9064,0.961
20.31,0.8079,0.9119,0.9656
25.32,0.8069,0.9208,0.9738
28.34,0.8156,0.9251,0.9779
26.08,0.8176,0.9264,0.9788
23.63,0.8109,0.918,0.9693
25.09,0.8073,0.9208,0.9719
22.76,0.8027,0.9148,0.966
22.41,0.7993,0.9161,0.9674
20.11,0.7921,0.9105,0.9602
19.87,0.799,0.9165,0.9646
19.87,0.8027,0.9226,0.9705
18.27,0.8,0.9195,0.9673
10.01,0.8134,0.9208,0.9697
13.78,0.8108,0.9239,0.9715
16.5,0.8094,0.9276,0.976
16.94,0.8084,0.9239,0.9732
12.78,0.8045,0.9232,0.9754
12.34,0.8048,0.924,0.9752
15.06,0.802,0.9194,0.9737
18.84,0.794,0.9125,0.9654
19.78,0.7997,0.9105,0.9614
20.39,0.8036,0.9166,0.9651
24.56,0.8042,0.9227,0.9727
23.99,0.8102,0.9263,0.975
23.55,0.8088,0.9228,0.973
24.74,0.8059,0.9224,0.9708
24.14,0.8106,0.9251,0.9731
25.78,0.8156,0.9217,0.9695
25.29,0.8176,0.9243,0.9722
27.56,0.8178,0.9254,0.9732
29.43,0.826,0.9245,0.9716
31.82,0.8201,0.9163,0.9712
32.5,0.8162,0.9153,0.9714
33.49,0.817,0.9107,0.9651
33.92,0.8181,0.9131,0.9705
33.25,0.8214,0.9172,0.9711
33.92,0.8204,0.9173,0.9722
34.35,0.8109,0.9105,0.9656
32.81,0.8162,0.9085,0.9685
33.71,0.8117,0.9026,0.9643
35.49,0.8099,0.9009,0.9614
35.44,0.8004,0.898,0.9609
36.81,0.7968,0.895,0.9623
37.29,0.7952,0.89,0.9613
37.41,0.7939,0.8818,0.9555
39.55,0.7896,0.8859,0.9626
38.19,0.786,0.8853,0.9577
38.94,0.7857,0.8818,0.9508
39.6,0.7845,0.8793,0.9449
36.34,0.7935,0.8849,0.9442
36.26,0.7973,0.8883,0.9524
37.12,0.7934,0.883,0.9492
38.38,0.7951,0.8876,0.9513
37.96,0.7964,0.8892,0.9487
38.84,0.8048,0.8925,0.9514
39.75,0.8092,0.8945,0.9524
40.46,0.8023,0.8879,0.9477
40.37,0.7987,0.8842,0.9446
38.01,0.8051,0.8887,0.9479
38.72,0.8053,0.8913,0.9484
38.49,0.8107,0.8912,0.9481
39.7,0.8131,0.8894,0.9513
39.27,0.8064,0.8901,0.9473
39.82,0.8016,0.8886,0.9458
40.65,0.8021,0.8897,0.9453
40.28,0.8009,0.8889,0.9459
40.63,0.8005,0.8842,0.9421
40.62,0.7973,0.887,0.9423
40.9,0.7929,0.8825,0.9383
39.62,0.7933,0.8861,0.9404
40.55,0.7922,0.8848,0.941
40.1,0.7964,0.8814,0.9415
40.29,0.7967,0.8772,0.9397
41.2,0.7948,0.8762,0.9443
40.75,0.7968,0.8783,0.9455
40.59,0.7957,0.8749,0.9387
40.81,0.7897,0.8735,0.9389
41.96,0.7855,0.8674,0.9333
41.9,0.7853,0.8642,0.9297
41.07,0.7849,0.8622,0.9255
41.29,0.7817,0.8578,0.9208
41.6,0.7763,0.8509,0.9199
41.04,0.7733,0.8534,0.9179
41.27,0.7695,0.8479,0.9126
39.92,0.7637,0.844,0.9089
40.27,0.7642,0.8488,0.9129
41.01,0.7649,0.85,0.9178
41.7,0.7651,0.8471,0.9134
42.19,0.7625,0.8428,0.9085
41.95,0.7605,0.8419,0.9097
41.22,0.7661,0.8482,0.9125
41.94,0.7649,0.8518,0.9156
41.61,0.7663,0.8517,0.9167
42.67,0.7671,0.8485,0.912
42.24,0.7654,0.8463,0.9096
42.01,0.7641,0.8443,0.909
42.89,0.7631,0.8424,0.9064
42.89,0.7552,0.8381,0.9037
42.93,0.7632,0.8447,0.915
42.58,0.7567,0.843,0.9076
42.34,0.7638,0.8475,0.9115
42.62,0.7654,0.8482,0.9117
43.35,0.7602,0.8449,0.9075
43.39,0.7569,0.8452,0.9081
43.04,0.7573,0.8458,0.9088
42.97,0.7488,0.8398,0.9038
42.61,0.7477,0.8377,0.9035
42.76,0.747,0.8393,0.9092
41.51,0.749,0.8434,0.9105
41.37,0.7528,0.8437,0.9093
39.77,0.7528,0.8445,0.9131
39.2,0.7593,0.8461,0.9159
36.76,0.7702,0.849,0.9173
38.05,0.769,0.8472,0.9123
37.3,0.7808,0.8462,0.9104
37.33,0.7814,0.844,0.9086
37.26,0.7783,0.8425,0.9083
38.28,0.7758,0.844,0.908
40.16,0.7711,0.8462,0.9092
40.97,0.7707,0.8439,0.9083
41.11,0.7741,0.8445,0.9116
39.31,0.7802,0.8494,0.9143
39.6,0.7852,0.854,0.9192
39.93,0.7858,0.8574,0.9238
40.31,0.7841,0.8565,0.9266
40.25,0.7843,0.8595,0.9284
40.6,0.779,0.857,0.9244
39.29,0.7773,0.8514,0.9192
40.22,0.7738,0.8531,0.9207
38.72,0.7756,0.851,0.9183
37.05,0.7727,0.8534,0.9209
39.22,0.7703,0.8485,0.9153
40.67,0.7763,0.8521,0.9177
39.95,0.7739,0.8501,0.9172
41.19,0.773,0.8503,0.9167
40.6,0.7663,0.8455,0.9101
39.43,0.7654,0.8464,0.9091
40.2,0.773,0.8512,0.9149
41.04,0.7683,0.8512,0.9138
40.96,0.7742,0.854,0.9149
40.88,0.7741,0.8532,0.9146
40.83,0.7721,0.8498,0.9102
41.46,0.7724,0.8457,0.9069
40.03,0.7603,0.843,0.9053
40.64,0.7642,0.846,0.9069
39.85,0.7666,0.843,0.9042
38.56,0.7678,0.8467,0.9074
39.57,0.7665,0.8477,0.9085
37.39,0.7701,0.8514,0.9103
36.17,0.7735,0.8565,0.9152
35.79,0.7725,0.8583,0.9167
36.81,0.7739,0.8589,0.9187
37.66,0.7656,0.8534,0.9117
39.15,0.7698,0.8527,0.9124
38.79,0.7606,0.8454,0.904
37.14,0.7599,0.842,0.9005
40.29,0.7596,0.8464,0.9133
41.36,0.7532,0.8462,0.9153
41.45,0.7561,0.849,0.9173
41.12,0.7623,0.8469,0.9148
40.13,0.7582,0.8449,0.9126
41.34,0.7576,0.8435,0.9127
41.43,0.7548,0.8428,0.9111
41.82,0.7533,0.8435,0.9109
41.74,0.7539,0.842,0.9109
42.15,0.7527,0.8434,0.9109
43.06,0.7505,0.8445,0.9125
44.91,0.7483,0.8408,0.9111
45.71,0.747,0.8392,0.908
44.98,0.7484,0.8392,0.9061
45.53,0.7509,0.8358,0.9041
45.34,0.7505,0.8381,0.909
44.55,0.7453,0.8284,0.8997
45.28,0.7481,0.8253,0.8942
45.64,0.7437,0.8234,0.8909
46.26,0.7439,0.8248,0.8921
45.76,0.7473,0.8257,0.8906
45.6,0.7487,0.8261,0.889
45.52,0.7463,0.8276,0.8892
46.78,0.7521,0.8237,0.8858
46.57,0.756,0.8254,0.8893
46.99,0.7504,0.8233,0.8863
47.62,0.7427,0.8227,0.8856
47.82,0.7401,0.8196,0.8855
48.36,0.7361,0.815,0.8843
49.1,0.7394,0.8157,0.8832
47.74,0.7423,0.8167,0.8855
47.02,0.7483,0.822,0.8896
48.12,0.741,0.8204,0.8878
48.23,0.7378,0.8205,0.8906
47.62,0.7433,0.8184,0.8884
48,0.7406,0.8163,0.8843
48.4,0.7338,0.8131,0.881
48.52,0.7311,0.8185,0.8853
